sep=,
File.......:  kcl_1m ac50mv dv0 100mhz-8mhz - JUN;01.2023
System.....:  KCl 1mM
Potential..:  -0.0085V; Ampl: 50mV
Current....:  -40.677nA
Temperature:  0.1+-0.1C
Time.......:  12:42:27 - 12:43:32
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   40
Columns: 7
Number,Frequency/Hz,impedance,R/Ohm,impedance,I/Ohm,Significance,Time/s,Voltage/V,Current/A
1,1.0000e+02,3.1230e+02,-9.4401e+02,0.993,0.0,-0.0083,8.147e-08
2,1.2549e+02,2.6540e+02,-7.8515e+02,0.993,2.3,-0.0083,9.428e-08
3,1.5747e+02,2.2639e+02,-6.5145e+02,0.994,3.8,-0.0083,1.098e-07
4,1.9760e+02,1.9421e+02,-5.4129e+02,0.994,5.3,-0.0083,1.118e-07
5,2.4795e+02,1.6743e+02,-4.5018e+02,0.996,6.7,-0.0083,1.135e-07
6,3.1114e+02,1.4509e+02,-3.7499e+02,0.994,8.2,-0.0083,1.136e-07
7,3.9044e+02,1.2657e+02,-3.1366e+02,0.996,9.7,-0.0083,8.8e-08
8,4.8994e+02,1.1096e+02,-2.6285e+02,0.996,11.1,-0.0083,6.105e-08
9,6.1481e+02,9.7810e+01,-2.2111e+02,0.997,12.7,-0.0083,4.142e-08
10,7.7149e+02,8.6683e+01,-1.8648e+02,0.996,14.1,-0.0083,7.758e-09
11,9.6811e+02,7.7114e+01,-1.5728e+02,0.997,15.6,-0.0083,-1.228e-08
12,1.2148e+03,6.8862e+01,-1.3269e+02,0.997,17.1,-0.0083,-4.149e-08
13,1.5244e+03,6.1786e+01,-1.1208e+02,0.999,18.7,-0.0083,-5.593e-08
14,1.9129e+03,5.5621e+01,-9.4554e+01,0.997,20.3,-0.0083,-6.138e-08
15,2.4004e+03,5.0338e+01,-7.9840e+01,0.997,22.0,-0.0083,-5.444e-08
16,3.0122e+03,4.5799e+01,-6.7388e+01,0.997,23.4,-0.0083,-5.034e-08
17,3.7799e+03,4.1900e+01,-5.6922e+01,0.997,24.8,-0.0083,-4.738e-08
18,4.7432e+03,3.8561e+01,-4.8136e+01,0.999,26.2,-0.0083,-4.228e-08
19,5.9520e+03,3.5688e+01,-4.0673e+01,0.998,27.6,-0.0083,-5.239e-08
20,7.4688e+03,3.3219e+01,-3.4325e+01,0.999,29.0,-0.0083,-5.793e-08
21,9.3723e+03,3.1115e+01,-2.8973e+01,0.999,30.5,-0.0083,-5.726e-08
22,1.1761e+04,2.9313e+01,-2.4442e+01,0.999,31.9,-0.0083,-6.929e-08
23,1.4758e+04,2.7784e+01,-2.0619e+01,0.999,33.3,-0.0083,-6.244e-08
24,1.8519e+04,2.6496e+01,-1.7410e+01,0.999,34.7,-0.0083,-5.896e-08
25,2.3239e+04,2.5385e+01,-1.4699e+01,0.999,36.1,-0.0083,-6.547e-08
26,2.9161e+04,2.4448e+01,-1.2410e+01,1.000,37.5,-0.0083,-5.876e-08
27,3.6593e+04,2.3650e+01,-1.0487e+01,1.000,38.9,-0.0083,-4.932e-08
28,4.5919e+04,2.2974e+01,-8.8546e+00,1.000,40.3,-0.0083,-5.406e-08
29,5.7621e+04,2.2390e+01,-7.4507e+00,1.000,41.7,-0.0083,-6.498e-08
30,7.2306e+04,2.1897e+01,-6.2534e+00,1.000,43.1,-0.0083,-5.438e-08
31,9.0734e+04,2.1481e+01,-5.2383e+00,1.000,44.5,-0.0083,-5.14e-08
32,1.1386e+05,2.1134e+01,-4.3610e+00,1.000,45.9,-0.0083,-5.271e-08
33,1.4287e+05,2.0835e+01,-3.5965e+00,1.000,47.3,-0.0083,-5.556e-08
34,1.7929e+05,2.0588e+01,-2.9345e+00,1.000,48.7,-0.0083,-5.526e-08
35,2.2498e+05,2.0385e+01,-2.3518e+00,1.000,50.1,-0.0083,-4.929e-08
36,2.8231e+05,2.0286e+01,-1.7601e+00,1.000,51.8,-0.0083,-3.888e-08
37,3.5426e+05,2.0159e+01,-1.2892e+00,1.000,53.7,-0.0083,-3.985e-08
38,4.4454e+05,2.0081e+01,-8.4417e-01,1.000,55.5,-0.0083,-4.781e-08
39,5.5784e+05,2.0046e+01,-3.8950e-01,1.000,58.2,-0.0083,-5.368e-08
40,7.0000e+05,2.0003e+01,1.9197e-02,1.000,61.6,-0.0083,-4.248e-08
