File.......:  kcl_1.953mm ac50mv dv0 100mhz-8mhz - MAY;11.2023,,,,,
,,,,,
System.....:  KCl_1.953mM,,,,,
Potential..:  0.0510V; Ampl: 50mV,,,,,
Current....:  -20.265nA,,,,,
Temperature:  0.3+-0.8C,,,,,
Time.......:  09:13:52 - 09:20:38,,,,,
Comment....:  ,,,,,
              ,,,,,
              ,,,,,
              ,,,,,
(area/cm^2):  ,,,,,
               ,,,,,
Impedance samples,,,,,
,,,,,
Lines:   71,,,,,
Columns: 5,,,,,
,,,,,
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.00E-01,1.02E+05,-65.81,0.977,0
2,1.58E-01,7.24E+04,-68.16,0.984,47.9
3,2.50E-01,5.08E+04,-69.73,0.99,83.3
4,3.91E-01,3.56E+04,-70.5,0.993,110.5
5,6.04E-01,2.51E+04,-70.4,0.995,130.2
6,9.19E-01,1.79E+04,-69.76,0.996,145.9
7,1.38E+00,1.29E+04,-68.5,0.997,160.6
8,2.03E+00,9.51E+03,-66.6,0.998,168.3
9,2.93E+00,7.14E+03,-64.02,0.998,175
10,4.17E+00,5.49E+03,-60.74,0.999,180.2
11,5.84E+00,4.32E+03,-56.79,0.999,184.4
12,8.06E+00,3.50E+03,-52.23,0.999,187.9
13,1.10E+01,2.92E+03,-47.28,0.999,190.9
14,1.47E+01,2.50E+03,-42.14,0.999,193.4
15,1.95E+01,2.21E+03,-37.07,1,195.6
16,2.55E+01,2.00E+03,-32.24,1,197.6
17,3.31E+01,1.85E+03,-27.81,1,199.4
18,4.24E+01,1.74E+03,-23.86,1,201.1
19,5.39E+01,1.66E+03,-20.4,1,202.6
20,6.79E+01,1.60E+03,-17.43,1,203.9
21,8.54E+01,1.56E+03,-14.8,1,204.8
22,1.07E+02,1.52E+03,-12.52,1,205.3
23,1.35E+02,1.49E+03,-10.53,1,205.8
24,1.70E+02,1.47E+03,-8.84,1,206.2
25,2.13E+02,1.45E+03,-7.4,1,206.6
26,2.68E+02,1.44E+03,-6.17,1,207
27,3.37E+02,1.43E+03,-5.15,1,207.5
28,4.24E+02,1.42E+03,-4.29,1,207.9
29,5.33E+02,1.42E+03,-3.57,1,208.3
30,6.70E+02,1.41E+03,-2.97,1,208.8
31,8.43E+02,1.41E+03,-2.47,1,209.2
32,1.06E+03,1.40E+03,-2.05,1,209.6
33,1.33E+03,1.40E+03,-1.71,1,210.1
34,1.68E+03,1.40E+03,-1.41,1,210.5
35,2.11E+03,1.40E+03,-1.18,1,210.9
36,2.65E+03,1.40E+03,-0.97,1,211.4
37,3.33E+03,1.40E+03,-0.81,1,211.8
38,4.19E+03,1.39E+03,-0.68,1,212.2
39,5.26E+03,1.39E+03,-0.56,1,212.6
40,6.62E+03,1.39E+03,-0.47,1,213.1
41,8.32E+03,1.39E+03,-0.39,1,213.5
42,1.05E+04,1.39E+03,-0.32,1,213.9
43,1.32E+04,1.39E+03,-0.27,1,214.4
44,1.65E+04,1.39E+03,-0.24,1,214.8
45,2.08E+04,1.39E+03,-0.21,1,215.2
46,2.61E+04,1.39E+03,-0.18,0.999,215.7
47,3.29E+04,1.39E+03,-0.13,1,216.1
48,4.13E+04,1.39E+03,-0.15,1,216.5
49,5.20E+04,1.40E+03,-0.19,1,217
50,6.53E+04,1.40E+03,-0.28,1,217.4
51,8.21E+04,1.40E+03,-0.39,1,217.8
52,1.03E+05,1.41E+03,-0.68,1,218.2
53,1.30E+05,1.42E+03,-1.05,1,218.7
54,1.63E+05,1.43E+03,-1.63,1,219.1
55,2.05E+05,1.44E+03,-2.4,1,219.6
56,2.58E+05,1.46E+03,-3.44,1,220.5
57,3.24E+05,1.47E+03,-4.86,1,221.7
58,4.08E+05,1.49E+03,-6.94,1,222.8
59,5.13E+05,1.51E+03,-9.91,1,224.2
60,6.45E+05,1.54E+03,-13.82,1,225.8
61,8.11E+05,1.55E+03,-19.33,1,227.4
62,1.02E+06,1.52E+03,-26.72,1,229.1
63,1.28E+06,1.45E+03,-35.25,0.999,230.6
64,1.61E+06,1.31E+03,-44.83,0.999,232.1
65,2.03E+06,1.12E+03,-49.15,0.997,233.4
66,2.55E+06,7.69E+02,-97.06,0.999,234.9
67,3.20E+06,7.61E+02,-126.29,0.998,236.6
68,4.03E+06,6.42E+02,-70.17,0.998,238.2
69,5.06E+06,5.85E+02,-70.86,0.996,240.2
70,6.36E+06,4.74E+02,-77.44,0.996,242.3
71,8.00E+06,4.89E+02,-80.83,0.996,244.9
